SEXO;EDAD;P1;RECUVOTOG1R;ESCIDEOL;NIVELESTENTREV;RELIGION;SITLAB;RELALAB;CNO11;INGRESHOG
1;35;1;21;4;10;4;1;1;2;2
1;51;1;1;3;6;4;1;1;3;2
2;59;1;2;5;4;6;1;3;5;4
2;69;1;1;3;11;2;2;0;0;2
2;57;1;2;8;11;1;8;0;0;1
2;57;1;21;1;6;4;1;1;5;3
2;24;1;1;3;10;6;1;1;2;4
2;49;2;2;5;7;5;1;1;4;3
1;58;2;2;5;11;2;1;2;2;2
1;51;1;2;10;13;1;1;1;3;2
1;40;4;21;5;11;5;1;1;2;3
2;53;2;1;6;11;2;1;1;4;3
1;34;2;21;4;12;6;1;1;2;4
2;46;1;1;4;13;6;1;1;2;2
1;33;4;3;10;10;3;1;1;3;4
1;27;5;3;8;7;5;1;1;3;2
2;49;1;1;4;7;2;1;1;5;3
1;50;1;1;3;7;2;4;0;0;4
2;63;1;21;1;6;3;2;0;0;6
1;35;2;2;10;11;1;1;1;2;2
1;44;1;21;2;6;6;1;3;3;1
2;32;2;2;7;13;2;1;1;2;3
2;62;1;1;4;6;2;1;2;5;5
2;38;2;21;3;10;4;1;1;4;4
2;46;4;2;5;6;1;1;3;5;5
2;64;2;1;5;4;2;4;0;0;6
1;31;2;3;9;7;5;1;1;3;5
1;45;2;1;5;6;2;1;1;8;4
1;74;1;902;3;11;1;2;0;0;1
2;54;1;1;3;7;4;4;0;0;6
1;63;4;1;4;4;2;1;1;5;5
2;43;1;21;3;11;6;1;1;2;4
1;66;1;21;1;6;6;2;0;0;2
2;64;2;1;3;6;4;1;1;4;4
1;77;2;2;6;6;4;2;0;0;1
2;63;2;21;1;6;6;1;1;3;3
2;47;2;21;3;11;2;1;1;11;5
1;22;4;2;6;6;1;6;0;0;4
2;54;1;1;3;8;5;1;5;5;4
2;70;5;3;7;2;2;7;0;0;4
1;49;4;3;8;6;4;1;1;4;3
2;34;2;1;1;6;3;4;0;0;8
